5,What Camry should be!,Vladimir ,10/07/2016,5,4,4,,,5,5,5,5,,,"The only reason why I bought the 2008 Camry was because I owned a 1993 Camry that lasted 300,000 mile without any major repair or problem.  I bought it used in 2010 with 28000 miles, it was a lease return vehicle.  100,000 miles later, it still looks and drives like new and never had any major problems with it.  The only thing I repaired in the car was the rear passenger hub bearing which cost less than $150.  I just replaced the original brakes last year simply because I wanted to.  I changed the tires twice and battery one time, usual car wear and tear.  It is nice to drive, comfortable and quiet.  The only this I probably don't like with this car is that it drives very light, too light for the size and type of car.  Toyota contacted me for all of the recalls and they fixed those.  They sent me extended warranties for the dashboard (cracks and warp dashboard) and engine (excessive oil loss), but never had to use them.  We really need a van or SUV for the growing family, but we can't imagine trading or selling this car since it has been really great to us.  Over all we really love this car, at this pace this one might reach 300,000 miles too.",,
5,"Excellent condition, reliability, low mileage.",Sue ,08/28/2016,4,5,5,,,5,5,5,5,,,"The owner (retired), has driven the car an average of 5,000 miles/year since purchased new in 2008. The owner has kept up proper dealer service requirements, maintained its physical appearance of the interior/exterior as well as keeping it garaged. The explanation to sell it arises out of the owner's health issues.",,
1,WORST CAR EVER,Alan Thiede ,05/31/2016,1,1,1,,,1,1,1,1,,,THIS IS THE WORST CAR I HAVE EVER OWNED. LAST TOYOTA.,,
1,Toyota Technician Fires Manufacturer,Ben ,05/05/2016,2,1,1,,,1,1,2,3,,,"There's a lot you need to know about this car before buying it. Firstly, if you DO buy it buy it new but Ideally lease it. Toyota has gotten incredibly shifty about their warranties and their reliability has dropped. I am reviewing this car based on owning it and also based on working on the brand professionally. In the year that I bought this car used, my dashboard has melted and been replaced by Toyota under warranty. My engine burns 1.5 quarts of oil per 12,000 miles due to faulty piston ring design. They will not cover it due to a lack of oil change receipts and the nature of it being purchased used. The gas pedal had a recall that was performed due to it functioning incorrectly. All Toyota Water pumps will leak antifreeze which is considered normal by the manufacturer. The sun visor in this particular model is held up by a metal clip and actually mine fell down while I was driving on the interstate one day. My radio was designed without the JBL option and you cannot upgrade after you purchase your vehicle. The wiring harnesses are not included and they will not allow it to be performed. The radio I was stuck with has major issues - as do many of them on that model. The cd players don't read properly and I went through five of them both new and used. You will be unable to do anything other than upgrade to an aftermarket radio designed specifically for this vehicle. The interior design of this build was built incredibly cheap and lacks durability in all senses. The alignment of the drivers seat is off to the right so eventually you will notice the left side of your seat wear out. The air conditioning system has a bad habit of growing mold and smelling like death due to evaporator moisture. Toyota's legendary paint has once again failed on my vehicle. The clear coat is paper thin and scratching everywhere. Also in newer vehicles, you will find stone chips and rail marks on every single car, even new ones. Trade in value has dropped horribly with this model and I'm financially underwater on this transaction. Toyota factory strut mounts are notorious for failure - especially the drivers side front on this model. The drivers side axle is also an issue and has a tendency to make noise and fail. The transmission software on these cars has been flashed several thousand times due to bad programming decisions and hesitations. Every time the car is at the shop there is a new recall open on it. My rear view mirror peeled in half and I ended up replacing it with one from a 1999 Toyota Camry. I actually have stopped working on new cars recently, due to the unreliability of the automotive industry of today.",,
3,Not Toyotas Finest Effort,Detectivejojima ,03/10/2016,4,3,4,,,4,3,3,4,,,"The car overall is a good car for everyday transportation. Quiet, comfortable and reliable. Not exciting, nor fun to drive, but it does the job. Weak points are struts, which had to be replaced around 40k. Small leaks and very soft, just too soft, and not under warranty. Needed to replace power booster on brakes around 150k. First time on any car I've owned. Those are expensive fixes. Also, now at 175k mileage, smoke comes out of exhaust when 1st starting in morning, regardless of weather. My mechanic says oil burn, but oil does not drop between oil changes, so not much oil burn, if that is what is causing smoke. But still runs great, no other major problems and I guess it's been overall a reliable Toyota, but below my other experiences with my 5 other Toyotas over the years.",,
1,Buyer beware,Hermania ,01/25/2016,1,2,2,,,1,3,1,2,,,"I bought my Camry new in 08. At 75,000 the engine blew. I took it to the dealer and they stated there is a design flaw in all Camrys in that they burn oil at a rate of 2 qts per 3000 miles. If you check your oil between changes you will discover this for yourself. It was in the dealership for 3 months and is still not running properly. Please take this advice and don't listen to the Toyota dealers. There is a serious design flaw in all Camrys. They are counting on you not checking the oil in between regular oil changes and before you realize it, blown engine. I was a big fan of the Toyota lines but now will not even consider buying one. I am not disgruntled by this experience , I just want to save others the headache of going thorough what I did. There are better choices out there. And by the way: all toyota service centers are crooked! Buyer beware.",,
1,My sun visor broken,VU Hanh ,11/05/2015,,1,1,,,1,1,1,1,,,"My sun visor broken when I driving and I get car accident , I m so scare what happen for next time",,
3,Done with Toyota Never Again!!!!,Susan Polillo ,08/18/2015,2,2,3,,,2,2,3,3,,,"My 2008 Camry was purchased with 9K in Sept of that year. I keep up with usual maintenance  It just turned 88K and unfortunately have had 3 sets of tires(including original), numerous wheel alignments...to which they say accord to specs its fine but every time I drive off lot it pulls to the left or right?!..... constant vibration with steering..... to which always Toyota or other mechanics say its fine!?!? Horrible at acceleration from starting off and switching lanes! Since summer of 2014, repairs/replacements on the following....2 front wheel bearing hubs shot, right driver cv axle, power steering line, trans leak at drive shaft, was burning oil(Toyota fix through semi recall) and was just informed my front trans mount needs replacement!!! Oh and the sunroof casing squeaks like crazy!!! Plus the paint is the worst on this car!!!!!! I am beyond fet up!!!!! The only positive thing about this car is the body style and gas mileage.",,
4.75,Easy To Choose,tyoater ,04/13/2015,,,4,4,5,5,,5,5,5,5,"When it comes to picking a midsize sedan for a family of 3 or 4, Toyota makes it simple. The popular Toyota Camry proves year in and year out why America relies on Toyota's bread and butter sedan. 

Comfort....yep, it's there. The Camry suspension is one of it's signature features that people like. It's not meant to give a sporty, low to the ground race-car feel, but rather a comfortable, quiet, and tranquil ride. 

Speed....the 3.5l V6 provides a generous 268hp. Pickup is impressive with a 0-60 in under 7 seconds.

Roominess...This is Toyotas roomiest Camry to date. No problem hauling 4-5 people comfortably in this vehicle.

Dollar for dollar the Camry can't be beat!","3.5l V6 engine
Quiet cabin
Roomy
Comfortable ride
Roomy trunk","Not so attractive stereo and heating/ac console
"
4.5,Uses Oil Between Changes,jlechevalier ,07/30/2014,,,5,5,5,1,,5,5,5,5,"My 2008 Camry uses 1/4 to 1/2 quart of oil per month.Toyota is aware of this widespread problem but has not issued a recall or set up a customer support program.Had this started during the first 5 years, there was a TBS (or something like that), but mine didn't start until around 60,000 miles last year, which seems to be the mileage at which this problem starts.I bought this car new - it had 6 miles on it, and all oil changes have been done.If the rings and pistons need to be replaced, which is the one solution the dealer came up with, the cost will be $3800.",,
